                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.80755,                0.66652,                 1.1728,                0.68014,                0.63029,                0.65185,                0.34477,                 1.8627,                 1.3285,                  1.907,             0.00023121,             0.00023121,             0.00023121
                     90,                0.81532,                0.66109,                 1.1818,                 0.6935,                0.65555,                0.65973,                0.33492,                 1.8905,                 1.3137,                 1.9333,             0.00021471,             0.00021471,             0.00021471
                     91,                0.84711,                0.61002,                 1.2009,                0.66576,                0.66667,                0.64101,                0.32847,                 1.9017,                 1.3191,                 1.9493,             0.00019821,             0.00019821,             0.00019821
                     92,                0.82471,                0.58186,                 1.1909,                0.71767,                0.61833,                0.65191,                0.32624,                 1.9209,                 1.3083,                 1.9782,              0.0001817,              0.0001817,              0.0001817
                     93,                0.81916,                0.57586,                 1.1828,                0.64608,                0.64045,                0.63341,                0.34083,                 1.9111,                  1.307,                 1.9841,              0.0001652,              0.0001652,              0.0001652
                     94,                0.82422,                0.57011,                  1.178,                0.66469,                0.63242,                0.62984,                0.33612,                 1.8773,                 1.3234,                 1.9247,              0.0001487,              0.0001487,              0.0001487
                     95,                0.81335,                0.55581,                 1.1693,                0.68087,                0.62389,                0.62928,                0.33465,                 1.8724,                 1.3365,                 1.9239,             0.00013219,             0.00013219,             0.00013219
                     96,                0.81392,                0.55123,                 1.1749,                0.72715,                0.62944,                0.64824,                0.33304,                 1.8803,                 1.3159,                 1.9332,             0.00011569,             0.00011569,             0.00011569
                     97,                0.80634,                0.55278,                 1.1671,                0.69012,                  0.645,                0.64972,                0.33835,                 1.8798,                 1.3308,                 1.9408,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.79374,                0.53635,                 1.1601,                0.72542,                   0.64,                0.65211,                0.33863,                 1.8721,                 1.3088,                 1.9219,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.79705,                0.53973,                 1.1666,                0.74218,                   0.64,                0.65108,                0.33824,                 1.8804,                 1.3127,                 1.9176,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.80391,                0.53764,                 1.1687,                0.72449,                0.63889,                0.63839,                0.33862,                 1.8848,                 1.3152,                  1.932,             4.9677e-05,             4.9677e-05,             4.9677e-05
